CODIGO_CLIENTE,DIA_VENCIMENTO_FATURA,ESTADO_CIVIL,DATA_NASCIMENTO,DATA_ATIVACAO_LINHA,MEDIA_FATURA,VALOR_PLANO,SEXO,IDADE,FAIXA_ETARIA,TEMPO_RELACIONAMENTO_MESES,FAIXA_RELACIONAMENTO,REGIAO,UF,QUANTIDADE_LIGACAO,STATUS_VENDA
1154862042,17,NAO INFORMADO,1955-02-08,2018-05-16,35.99,35.99,M,64,6. 60 - 69,11,3. De 7 à 12 meses,NORTE,RR,2,1
1149339523,6,NAO INFORMADO,1956-09-06,2018-04-02,64.99,64.99,M,62,6. 60 - 69,12,3. De 7 à 12 meses,NORTE,AM,5,1
1154861625,17,NAO INFORMADO,1957-05-04,2018-05-16,49.99,49.99,M,61,6. 60 - 69,11,3. De 7 à 12 meses,NORTE,PA,22,0
1153798293,17,NAO INFORMADO,1982-09-14,2018-05-08,35.99,35.99,M,36,3. 30 - 39,11,3. De 7 à 12 meses,CENTRO_OESTE,MS,22,0
1147851418,26,NAO INFORMADO,1957-10-22,2018-03-19,35.99,35.99,F,61,6. 60 - 69,13,3. De 7 à 12 meses,NORTE,AM,6,1
1152100281,26,NAO INFORMADO,1962-05-21,2018-04-25,49.99,49.99,M,56,5. 50 - 59,12,3. De 7 à 12 meses,NORTE,PA,16,0
1148643376,26,NAO INFORMADO,1988-12-22,2018-03-26,64.99,64.99,F,30,3. 30 - 39,13,3. De 7 à 12 meses,NORTE,RO,36,0
1148149144,26,NAO INFORMADO,1988-07-04,2018-03-22,64.99,64.99,M,30,3. 30 - 39,13,3. De 7 à 12 meses,CENTRO_OESTE,GO,24,0
1148092238,26,NAO INFORMADO,1981-05-27,2018-03-21,49.99,49.99,F,37,3. 30 - 39,13,3. De 7 à 12 meses,CENTRO_OESTE,GO,3,0
1154273824,26,NAO INFORMADO,1997-04-07,2018-05-11,49.99,49.99,M,22,1. 18 - 24,11,3. De 7 à 12 meses,CENTRO_OESTE,GO,2,1
1155884225,26,NAO INFORMADO,1988-11-14,2018-05-25,49.99,49.99,M,30,3. 30 - 39,11,3. De 7 à 12 meses,NORTE,PA,6,1
1148343070,21,NAO INFORMADO,1960-01-14,2018-03-23,35.99,35.99,M,59,5. 50 - 59,13,3. De 7 à 12 meses,NORTE,AM,17,1
